UniqueID,Section,Semester,TestControl,LAB_Avg_PI,LAB_grade_Avg,ASSIGN_PI_avg,ASSIGN_grade_Avg,QUIZ_PI_Avg,Quiz_Grade_Avg.,Final_PI_Avg,Final_Grade_Avg,final_weigth_PI
16180264,1112W05,SP23,Test,0.182,75.304,0,86,0,91.88,0.061,84.395,0.045
76860318,1112W05,SP23,Test,0,98.023,0,97.333,0,97.639,0,97.665,0
18190616,1112W05,SP23,Test,0,98.69,0.333,90,0,96.667,0.111,95.119,0.1
12067510,1112W05,SP23,Test,0.364,95.157,0.667,84,0.333,99.167,0.455,92.775,0.358
14912348,1112W05,SP23,Test,1,79.347,0.333,72.667,1,79.444,0.778,77.153,0.55
4169520,1112W05,SP23,Test,0.182,68.396,0,85.333,0,97.361,0.061,83.697,0.045
40480111,1112W05,SP23,Test,0,93.58,0,80.5,0,92.277,0,88.786,0
40642864,1112W05,SP23,Test,0,87.083,0.333,70,0,96.443,0.111,84.508,0.1
83112029,1112W05,SP23,Test,0.727,70.007,0.333,62,0.583,89.359,0.548,73.789,0.398
37657801,1112W05,SP23,Test,0,79.935,0,58.667,0.083,93.388,0.028,77.33,0.017
40853929,1112W05,SP23,Test,0.727,14.243,0.333,50.667,0.583,34.465,0.548,33.125,0.398
34517649,1112W05,SP23,Test,0.455,74.845,1,82.667,0.417,96.528,0.624,84.68,0.497
79844861,1112W05,SP23,Test,0.727,37.502,0,94.667,0.917,86.112,0.548,72.76,0.365
27566640,1112W05,SP23,Test,0.636,74.153,0,92.667,0.833,80.108,0.49,82.309,0.326
14009188,1112W05,SP23,Test,0,94.084,0.333,92.667,0,96.667,0.111,94.472,0.1
5893952,1112W05,SP23,Test,0.273,87.209,0.333,79.333,0.417,97.083,0.341,87.875,0.252
32404465,1112W05,SP23,Test,0.091,75.135,0.333,93.333,0.083,88.473,0.169,85.647,0.139
98087447,1112W05,SP23,Test,0.182,88.951,0,82.667,0.333,96.998,0.172,89.539,0.112
51538695,1112W05,SP23,Test,0.091,82.017,0,91.333,0,96.025,0.03,89.792,0.023
87617652,1112W05,SP23,Test,0.727,58.137,0,72,0.75,51.411,0.492,60.516,0.332
7461524,1112W05,SP23,Test,0,90.811,0,79.333,0,99.028,0,89.724,0
94508945,1112W05,SP23,Test,0.182,83.022,0,67.333,0.083,93.943,0.088,81.433,0.062
93397455,1112W05,SP23,Test,0.182,88.182,0,92,0.083,97.276,0.088,92.486,0.062
4384696,1113-02,SP23,Test,0,100,0.143,74.286,0,76.143,0.048,83.476,0.04
4384696,1113-02,SP23,Test,0,100,0,97.143,0.286,93,0.095,96.714,0.08
72945836,1113-02,SP23,Test,0.143,89.143,0.143,88.571,0.143,84.857,0.143,87.524,0.12
4384696,1113-02,SP23,Test,0,100,0.286,82.857,0.143,93.571,0.143,92.143,0.12
27633754,1113-02,SP23,Test,0.143,96.571,0.143,74.286,0,72.714,0.095,81.19,0.08
45818563,1113-02,SP23,Test,0.286,94.857,0.429,91.429,0.714,83.571,0.476,89.952,0.4
32709004,1113-02,SP23,Test,0.143,93.286,0.143,80,0,81.286,0.095,84.857,0.08
13372890,1113-02,SP23,Test,0.286,75.143,0.143,80,0.143,80.429,0.19,78.524,0.16
